Title,Date,Rating,Review
"Good Sunday roast",2025-08-09,4,"Sunday roast is a comfort classic done well here. Cocktails are available but the crowd leans toward relaxed family dining. Nice weekend atmosphere."
"Long wait for table",2025-08-12,3,"Waited over 45 minutes despite a reservation mix-up. Once seated the food and cocktails were good, but the start left a sour note. Better reservation management needed."
"Excellent for cocktails and small plates",2025-08-15,5,"Perfect for sharing small plates and sipping well-crafted cocktails. Atmosphere feels lively without being overwhelming. Staff are knowledgeable and attentive."
"Food arrived unevenly",2025-08-18,2,"Some dishes were overcooked while others were underseasoned. Cocktails were a highlight yet inconsistent delivery made the evening feel chaotic. Kitchen needs better coordination."
"Seasonal menu impressed",2025-08-21,5,"Seasonal ingredients shine on every plate and the bartender uses the same produce for clever cocktails. Flavors were clean and imaginative. A top choice in the neighborhood."
"Good happy hour",2025-08-24,4,"Happy hour offers discounted cocktails and snacks — great value. Food portions are moderate but flavors are consistent. A pleasant place to relax after work."
"Hard to hear conversation",2025-08-27,3,"Acoustics are poor on busy nights making conversation difficult. Food and drinks are enjoyable, but expect noise. Perhaps request a quieter corner if available."
"Authentic French classics",2025-08-30,5,"Classic dishes are authentic and well executed. The bar serves classic cocktails with a refined touch. Service felt practiced and welcoming. A dependable classic bistro."
"Under-seasoned fish",2025-09-02,2,"Fish dish came out under-seasoned and a little lukewarm. Cocktails were well made so the drink experience was better than the meal. Might try again for cocktails only."
"Lovely seasonal cocktails",2025-09-05,5,"Seasonal cocktail menu was inspired, integrating herbs and fruits in subtle ways. Mains were balanced and fresh. Staff offered excellent pairing suggestions."
"Decent for families",2025-09-08,4,"Family-friendly during earlier hours with a good kids' menu. Drinks and cocktails are available for adults and the kitchen handles requests well. Comfortable atmosphere."
"Attentive but formal",2025-09-11,3,"Service was attentive but felt a bit formal for the casual vibe we expected. Food had promise but needed a bolder hand in seasoning. Cocktails were expertly mixed."
"Wonderful amuse-bouche",2025-09-14,5,"A delightful amuse-bouche set the tone and the courses continued to impress. Cocktail service was thoughtful and well timed. Outstanding culinary care shown throughout the meal."
"Oddly sweet starter",2025-09-17,2,"Starter had an oddly sweet glaze that didn't pair well with the main. Cocktails were interesting, though. The menu could use better balancing between savory and sweet elements."
"Comfortable and relaxed",2025-09-20,4,"Comfortable atmosphere and relaxed pace. Nice cocktail list and mains are comforting without being heavy. Great place to unwind after a long day."
"Excellent service recovering mishap",2025-09-23,5,"We had a small issue with a dish and the staff handled it with grace, offering a replacement and a complimentary digestif. Cocktails were excellent and the dessert was divine."
"Too dark to read menu",2025-09-26,3,"Ambience is cozy but the lighting made it hard to read the menu. Food and cocktails were balanced and tasteful; just wish the dining area was a touch brighter."
"Outstanding charcuterie",2025-09-29,5,"Charcuterie board was a standout, varied and flavorful. Cocktails and wines paired beautifully. A great spot to start a night out with friends."
"Overcooked vegetables",2025-10-02,2,"Vegetables were overcooked and limp, which disappointed an otherwise promising menu. Cocktails were vibrant and well crafted but couldn't compensate for the lackluster sides."
"Great for small celebrations",2025-10-05,5,"We celebrated a promotion here and the staff made it special with considerate service and a complimentary small dessert. Cocktails were the highlight of the night."
"Limited beer selection",2025-10-08,3,"Cocktail and wine lists are excellent, but the beer selection is limited. Food is well made and service attentive. If you prefer beer, options may be lacking."
"Refined flavors and technique",2025-10-11,5,"Chef shows refinement and technical skill — flavors are layered and thoughtful. Bartenders match that same level of care with the cocktail program. Highly recommended."
"Small but well-made plates",2025-10-14,4,"Portions are on the smaller side, but every plate is executed with care. Cocktails are inventive and balanced. Good spot for a tasting-style evening."
"Rushed tasting menu",2025-10-17,2,"Tasting menu felt rushed with short intervals between courses. Food was interesting but pacing spoiled the enjoyment. Cocktails were well paired but couldn't fix the tempo."
"Lovely staff recommendations",2025-10-20,5,"Staff made spot-on recommendations for both food and drinks, and the meal flowed beautifully. Cocktails were creative and executed perfectly. Excellent hospitality."
"Strange aftertaste in cocktails",2025-10-23,3,"Some cocktails left a strange aftertaste that masked the spirits. Food was nicely done and the atmosphere pleasant, but the drink execution needs a bit of tuning."
"Reliable neighborhood option",2025-10-26,4,"A reliable local restaurant with steady quality and friendly service. Cocktail list is adventurous without being pretentious. A solid choice for most occasions."
"Overly firm steak",2025-10-29,2,"Steak was served tougher than expected and required extra effort to cut. Sides were better, and cocktails were enjoyable. Disappointed by the execution of a classic dish."
"Bright and airy dining room",2025-11-01,5,"Bright dining room with a relaxed vibe and attentive staff. Cocktails were subtle and expertly mixed. Food showcased good technique and balance. A lovely midday meal."
"Wait staff seemed overwhelmed",2025-11-04,3,"Servers seemed overwhelmed during a busy service which resulted in slow refills and delayed courses. Food quality was decent, and cocktails were precisely made when they arrived."
"Perfect for networking",2025-11-07,4,"Great atmosphere for networking — lively but not overly loud. Cocktail menu is professional and food can be shared easily between colleagues. Good service and timing."
"Unbalanced spice in main",2025-11-10,2,"Main course used too much spice which overpowered other flavors. Cocktails remained enjoyable though and the service was apologetic. Kitchen needs to moderate seasoning."
"Exceptional cocktail presentation",2025-11-13,5,"Cocktails were not only tasty but beautifully presented. Culinary plates matched the bar’s attention to detail. Staff were friendly and knowledgeable. Highly recommended for cocktails and dinner."
"Nice for a business dinner",2025-11-16,4,"Professional staff and composed service make this a good choice for business dinners. Cocktails are refined and the menu shows restraint and good taste."
"Floor felt sticky",2025-11-19,3,"The dining area had a sticky floor which detracted from an otherwise pleasant meal. Food and cocktails were well made, but cleanliness needs attention."
"Impressive seasonal cocktail list",2025-11-22,5,"Seasonal cocktail list was inspiring and truly highlighted fresh ingredients. Mains were equally thoughtful with balanced flavors. A top-tier bar-restaurant hybrid."
"Disappointing amuse bouche",2025-11-25,2,"Amuse bouche was oddly off-balance, which set a strange tone for the meal. Cocktails were fine but the initial course disappointed. Hope it was an off night for the kitchen."
"Great location and vibe",2025-11-28,4,"Prime location and a welcoming vibe. Cocktails are creative and the food is comfortably upscale without being pretentious. Worth a visit."
"Sharp cheese imbalance",2025-12-01,3,"One cheese on the board was overwhelmingly sharp and disrupted the pairing with the cocktail. Other dishes were enjoyable. Better selection editing would help."
"Stellar pastry team",2025-12-04,5,"Pastry team deserves applause — desserts are intricate and perfectly balanced. Drinks and cocktails were a delightful accompaniment. A sweet ending to a wonderful dinner."
"Cold plates on arrival",2025-12-07,2,"Several plates arrived lukewarm which was disappointing for a well-reviewed spot. Cocktails were good but couldn't cover the kitchen timing issues. Needs better coordination."
"Warm and inviting atmosphere",2025-12-10,4,"Atmosphere is very welcoming with attentive staff. Cocktail menu is an enjoyable exploration and the mains are executed with care. A comfortable place for dinner."
"Small staff but friendly",2025-12-13,3,"Staff numbers seemed small for a busy night which led to slower service. Everyone was friendly and competent despite the pressure. Food and cocktails remained enjoyable."
"Exceptional sommelier advice",2025-12-16,5,"Sommelier provided excellent wine pairing suggestions that elevated our meal. Cocktail alternatives were recommended when needed. Knowledgeable and thoughtful service."
"Oddly cold draft beer",2025-12-19,2,"Draft beer was served too cold which muted the flavors; not a major issue but noticeable. Food quality was decent and cocktails were well made. Small operational glitches exist."
"Great oyster selection",2025-12-22,5,"Oyster selection was fresh and perfectly chilled; paired beautifully with a crisp cocktail. Service was attentive and knowledgeable. A refined seaside feel inland."
"Limited dessert menu",2025-12-25,3,"Dessert options were surprisingly limited for a French restaurant. Coffee and cocktail selection were good, but we expected more pastry variety. Service friendly and accommodating."
"Perfect New Year's spot",2025-12-28,5,"Booked for New Year's Eve and the experience was flawless — festive cocktails, impeccable food, and staff handled the busy night with grace. Highly recommended for celebrations."
"Good, but needs consistency",2025-01-05,4,"Food and drinks are generally very good, but occasional inconsistencies in temperature and timing keep it from being top-tier. Staff are professional and eager to please."
"Intimate bar experience",2025-01-08,5,"Bar area is intimate and perfect for trying creative cocktails. The bartender chatted about flavors and made perfect recommendations. Food small plates paired nicely."
"Strained conversation space",2025-01-11,3,"Space layout makes conversation strained when crowded. Food and cocktails are worthwhile, but if you want a quiet dinner, book an early table."
"Lovely farmers market produce",2025-01-14,5,"Menu highlights appear to come from local markets — flavors are bright and vibrant. Cocktails reflect the same freshness. Excellent farm-to-table approach in a bistro setting."
"Overly complicated dishes",2025-01-17,2,"Some dishes felt overly complicated with too many competing elements. Simpler plates might let the core flavors shine. Cocktails were the saving grace of the meal."
"Friendly for first-timers",2025-01-20,4,"Staff made us feel welcome and walked us through the menu. Cocktails were innovative and the food approachable. A great first-time dining experience."
"Wait was long but worth it",2025-01-23,5,"Had to wait for a table on a busy night, but once seated the meal was excellent. Cocktails were balanced and the mains were flavorful and well timed."
"Over-salted appetizer",2025-01-26,2,"Appetizer arrived overly salty which made it hard to enjoy subsequent courses. Cocktails were creative and delicious, but kitchen needs to adjust seasoning practices."
"Bright staff energy",2025-01-29,4,"Staff had bright, upbeat energy that made the evening pleasant. Cocktails were inventive and the menu showcased seasonal ingredients. A lively and friendly place."
"Okay for special occasions",2025-02-02,4,"A good choice for small special occasions; staff were accommodating and the dessert was memorable. Cocktails were elegant and well timed throughout the evening."
"Slow to receive check",2025-02-06,3,"Meal was enjoyable but it took a long time to get the check. Service otherwise was attentive and the cocktails were fantastic. Improve closing service speed."
"Excellent brunch cocktails",2025-02-11,5,"Brunch cocktails were superb — creative twists on classics and a very pleasant brunch menu. Service was relaxed and efficient. A great weekend treat."
"Menu lacked clarity",2025-02-14,2,"Some menu items were ambiguous and caused confusion about sides and portion sizes. Food quality was fine but unclear descriptions need correction. Drinks were good."
"Great for a catch-up",2025-02-17,4,"Perfect spot to catch up with friends — comfortable seating, good cocktails, and shareable plates. Service attentive and unobtrusive. We lingered happily for hours."
"Dry chicken main",2025-02-20,2,"Chicken main arrived dry and overcooked. Sides were fine and cocktails were enjoyable, but the main misstep was significant. Kitchen must tighten cooking times."
"Inventive bar program",2025-02-23,5,"Bar program is inventive with thoughtful ingredient pairings. Food complements the drinks nicely and the staff are well trained in both kitchen and bar knowledge. Highly recommended."
"Good late-night bites",2025-02-26,4,"Late-night menu is compact but satisfying; cocktails are strong and food arrives quickly. A solid place for a post-show meal or nightcap."
"Warm staff, wooden tables",2025-03-01,4,"Warm and welcoming service with charming wooden tables and classic bistro decor. Cocktails are creative and mains are solid. A dependable neighborhood spot."
"Strained parking situation",2025-03-04,3,"Parking nearby is challenging which complicates visits. Food and drinks were good when we arrived, but logistics make it less convenient for spontaneous nights out."
"Excellent seasonal tart",2025-03-07,5,"Seasonal fruit tart was delicate and perfectly balanced. Cocktails complemented the dessert beautifully. A pastry-forward finish to a delightful meal."
"Service rushed our dessert",2025-03-10,2,"We felt rushed to finish our dessert as staff were clearing tables aggressively. Food and cocktails were enjoyable but the hurried finish soured the end of the evening."
"Cozy winter menu",2025-03-13,4,"Winter menu is cozy and comforting with hearty flavors. Cocktails include warming spices and pair well with the food. Nice winter escape for dinner."
"Confused order mix-up",2025-03-16,3,"There was an order mix-up at our table which staff apologized for, but the delay affected the evening. Cocktails were wonderful and the staff tried to make amends."
"Phenomenal lamb shoulder",2025-03-19,5,"Lamb shoulder fell apart and was rich with flavor; a truly stellar main. Cocktails and small plates matched the level of execution. Brilliant kitchen work."
"Too bright music",2025-03-22,2,"Music selection was oddly bright and clashed with a relaxed dinner vibe. Food and cocktails were good, but the sonic atmosphere needs adjusting for dining comfort."
"Excellent aperitifs",2025-03-25,5,"Aperitifs were bright, fresh, and a wonderful start to the meal. The staff suggested perfect pairings and the meal maintained a high level across courses."
"Limited seating for big parties",2025-03-28,3,"Not ideal for large parties due to limited seating configurations. Food and cocktails were delightful for smaller groups, but larger gatherings would be difficult."
"Delightful late fall flavors",2025-03-31,4,"Late fall menu showcased root vegetables and preserved flavors beautifully. Cocktails echoed the season with spice and citrus. Cozy and satisfying."
"Over-sweet dessert sauce",2025-04-03,2,"Dessert sauce was cloyingly sweet and dominated the dish. Cocktails were varied and interesting, but the dessert disappointed. Pastry team should balance sugar levels more carefully."
"Friendly owner interaction",2025-04-06,5,"Owner stopped by our table to make sure we were enjoying the meal — a lovely personal touch. Cocktails and food were both high quality. Great hospitality."
"Nice seasonal beer options",2025-04-09,4,"While the focus is on cocktails and wine, the seasonal beer offerings were pleasant and complemented the menu. Food was refined and satisfying."
"Cold draft cider",2025-04-12,2,"Draft cider served too cold and flat; missed some of the cider's character. Food was good and cocktails were much better. Minor service detail to correct."
"Wonderful for solo drinks",2025-04-15,5,"Excellent bar for solo drinks — approachable bartenders, great small plates, and a welcoming atmosphere that makes solo dining comfortable and enjoyable."
"Menu prices increasing",2025-04-18,3,"Noticed recent price increases across several mains. Quality remains decent but rising prices could make regular visits less feasible. Cocktails remain worth trying, though."
"A bit pretentious",2025-04-21,2,"Felt a bit pretentious in tone and menu language. Staff were efficient but the atmosphere seemed more concerned with image than genuine hospitality. Cocktails were well made, at least."
"Lovely pre-theater menu",2025-04-24,4,"Great pre-theater menu with quick service and smaller plates perfect for a shorter meal. Cocktails are a nice complement if time allows. Efficient and tasty."
"Plenty of vegetarian starters",2025-04-27,4,"Vegetarian starters are plentiful and inventive. Cocktails include great non-alcoholic choices as well. Service is friendly and the atmosphere relaxed."
"Over-roasted vegetables",2025-04-30,2,"Vegetables arrived a touch over-roasted and charred in places which masked the intended flavors. Cocktails were inventive and balanced though. Kitchen should adjust cooking times."
"Impressive cocktail depth",2025-05-03,5,"Cocktails showcase depth and restraint rather than flashy gimmicks. The food is equally thoughtful, with clean, crisp execution. A standout bar-restaurant."
"Good for rehearsal dinners",2025-05-06,4,"Accommodating staff and flexible menu make it a good venue for rehearsal dinners and similar gatherings. Cocktails and small plates worked well for our group."
"Rushed pace on busy night",2025-05-09,3,"Busy night led to a rushed pace with courses arriving quickly and little time between them. Food quality was good but pacing needs attention. Cocktails well prepared though."
"Warm bread, excellent butter",2025-05-12,5,"Warm bread and excellent butter set a comforting tone. Cocktails had nuance and compressed flavors well. Superb little details made the meal memorable."
"Unimpressive amuse bouche",2025-05-15,2,"The amuse bouche felt uninspired and small, not matching the price point. Cocktails were creative but the kitchen needs to elevate even the smallest touches."
"Great for a girls' night",2025-05-18,4,"Lively atmosphere and shareable plates made this an ideal spot for a girls' night out. Cocktails were playful and delicious. Service friendly and energetic."
"Confusing cocktail menu layout",2025-05-21,3,"Cocktail menu layout was confusing to read with small print and unclear ingredient lists. Drinks tasted excellent once ordered, though. Improve readability of the menu."
"Fantastic petit fours",2025-05-24,5,"Petits fours were delightful and the perfect finish to an elegant meal. Cocktails and wines were thoughtfully matched. A refined pastry program is evident."
"Small restroom space",2025-05-27,3,"Restroom was small and crowded which detracted slightly from the experience. Food, cocktails, and service were otherwise solid. Facilities could use an upgrade."
"Excellent for anniversaries",2025-05-30,5,"Returned for an anniversary and again had a superb experience. Staff remembered details and the meal felt personalized. Cocktails were exceptional and timing flawless."
"Overcomplicated cocktail list",2025-06-02,2,"Cocktail descriptions were overly flowery and pretentious which made choosing difficult. Drinks tasted fine but the menu could be simplified for clarity. Food was decent."
"Strong digestifs selection",2025-06-05,5,"Post-dinner digestifs were excellent with strong variety and knowledgeable recommendations. Desserts were delicate and perfectly balanced. Fantastic evening."
"Kids menu limited",2025-06-08,3,"Kids menu is limited and may not satisfy picky eaters. Food and cocktails for adults were tasty and inventive. Family visits feasible but plan ahead for kids."
"Friendly and unpretentious",2025-06-11,4,"Friendly staff and an unpretentious atmosphere make this an approachable neighborhood gem. Cocktails are top-notch and mains are well prepared. Good overall value."
"Menu too small",2025-06-14,2,"Menu selection felt limited and repetitive if you dine frequently. Cocktails were interesting but rotation of dishes could be faster to keep regulars engaged."
"Delicious pumpkin velouté",2025-06-17,5,"Pumpkin velouté was smooth and perfectly spiced — ideal for the season. Cocktails complemented the flavors wonderfully. A comforting and refined meal."
"Spotty wine service",2025-06-20,3,"Wine service was spotty and a bottle was opened too early which slightly degraded the experience. Food and cocktails were much better executed. Staff training on wine timing recommended."
"Perfect pre-concert dinner",2025-06-23,5,"Great for a pre-concert dinner with quick service and well-portioned plates. Cocktails are refined and a perfect companion to the meal. Timely and professional."
"Too many substitutions",2025-06-26,2,"Several items had substitutions without notice which changed the character of the dishes. Cocktails were tasty but the menu communication needs improvement. Felt like an off night."
"Enjoyable lunch special",2025-06-29,4,"Lunch special offers good value with a satisfying main and a small dessert. Cocktails are available and make for a leisurely midday treat. Pleasant atmosphere and quick service."
"Service recovered a mistake",2025-07-02,5,"There was a mix-up with our order but staff handled it professionally and offered an apology and compensation. The meal afterward was excellent and cocktails delightful."
"Limited non-alcoholic cocktails",2025-07-05,3,"Non-alcoholic cocktail options were limited compared to the alcoholic menu. Food and wine offerings were good, though. Recommend expanding mocktail variety."
"Warm and attentive team",2025-07-08,5,"Team is warm and attentive without hovering. Cocktails are crafted with real technique and the food shows thoughtful seasoning. Truly enjoyable from start to finish."
